CentreCode,CityCode,CentreName
4039,408,iON Digital Zone iDZ 2 Hathipur
4040,408,UNZIP TECHNOLOGY LLP.
4041,408,Indian Insititute of Global IT
4042,408,VKS INSTITUTIONS INDIA LIMITED
4043,408,Ram Charan Ram Dulari Kanya Mahavidyalaya
4044,409,Our Little Angels Home
4045,409,iON Digital Zone iDZ Omaxe City
4046,409,Pawan Online Solutions
4047,409,Yuvi Online Solutions
4048,409,DIT Education Centre
4049,409,B.S. Infotech Solutions
4050,409,iON Digital Zone iDZ Sector-9B Vrindawan Colony
4051,409,iON Digital Zone iDZ Prabandh Nagar
4052,409,iON Digital Zone iDZ- A Jankipuram Extension
4053,409,iON Digital Zone iDZ- B Jankipuram Extension
4054,409,iON Digital Zone iDZ Azad Puram
4055,410,Dewa Mahila Mahavidyalaya
4056,410,iON Digital Zone iDZ Harahuwa Chauraha
4057,410,OCBT IT Services
4058,410,iON Digital Zone iDZ Ayar Bazar
4059,410,Shree Bhagwat Institute of Technology
4060,410,JeevanDeep Institute of Management & Technology
4061,410,Institute of Hardware Networking And Communication Center Sarnath
4062,410,Dr. Ghanshyam Singh College Of Education
4063,410,Lahuri Kashi Institute Of Information Technology
4064,410,Gyanada Institute Of Computer Training
4065,410,Institute of Hardware Networking And Communication Center 2
4066,410,School of Management Sciences
5001,501,Dr.B.R.Ambedkar Institute of Technology
5002,502,Gayatri Vidya Parishad School of Engineering
5003,502,iON Digital Zone iDZ Sheela Nagar
5004,502,iON Digital Zone iDZ 1 Chinamushidiwada Center-1
5005,502,iON Digital Zone iDZ 2 Chinamushidiwada Center-2
5006,502,iON Digital Zone iDZ 2 Chinamushidiwada Center-3
5007,502,Gayatri Vidya Parishad College of Engineering Autonomous Visakhapatnam
5008,502,Nadimpalli Satyanarayana Raju Institute of Technology
5009,502,Gayatri Vidya Parishad College of Engineering for Women
5010,502,Viswanadha Institute of Technology & Management
5011,502,Dadi Institute of Engineering & Technology
5012,502,Sanketika Institute of Technology and Management
5013,502,Noble Institute of Science and Technology
5014,502,Chaitanya Engineering College Visakhapatnam 
5015,502,Pydah College of Engineering & Technology
5016,503,iON Digital Zone iDZ Gajularega 
5017,504,Bharti College of Engineering & technology
5018,504,iON Digital Zone iDZ Sirsakala Bhilai
5019,505,iON Digital Zone iDZ Bodri Near high court
5020,505,Dr.C.V.Raman University
5021,506,iON Digital Zone iDZ Sarona-1
5022,506,ION Digital Zone iDZ Sarona-2
5023,507,iON Digital Zone IDZ Bokaro
5024,508,iON Digital Zone IDZ Dhanbad-1
5025,508,iON Digital Zone IDZ Dhanbad-2
5026,508,IIT (ISM) Dhanbad
5027,509,iON Digital Zone iDZ Jamshedpur-1
5028,509,iON Digital Zone iDZ Jamshedpur-2
5029,509,DBMS Career Academy
5030,510,iON Digital Zone IDZ Tupudana-1
5031,510,iON Digital Zone IDZ Tupudana-2
5032,510,iON Digital Zone IDZ Tupudana-3
5033,510,iON Digital Zone iDZ Tatisilwai-1
5034,510,iON Digital Zone iDZ Tatisilwai-2
5035,510,iON Digital Zone iDZ Tatisilwai-3
5036,511,iON Digital Zone iDZ Golanthra
5037,511,iON Digital Zone iDZ Khallikote College Area
5038,512,iON Digital Zone iDZ2 Patia Centre-1
5039,512,iON Digital Zone iDZ2 Patia centre-2
5040,512,iON Digital Zone iDZ2 Patia Centre-3
5041,512,iON Digital Zone iDZ1 Patia
5042,512,iON Digital Zone iDZ Mancheswar
5043,512,Indian Institute Of Technology Bhubaneswar
5044,513,iON Digital Zone iDZ Anantapur
5045,514,iON Digital Zone iDZ Sector-4
5046,514,Rourkela Institute of Management Studies MAC Center
5047,515,iON Digital Zone iDZ Asansol
5048,515,Asansol Engineering College
5049,516,Government College of Engineering and Textile Technology
5050,517,Sanaka Educational Trust Group of Institutions centre - 1
5051,517,Sanaka Educational Trust Group of Institutions Centre - 2
5052,517,The New Horizons Institute of Technology
5053,517,DAV Model School Durgapur
5054,517,Bengal College of Engineering and Technology
5055,517,NIT Durgapur
5056,518,Ideal Institute of Engineering
5057,518,iON Digital Zone iDZ Hooghly
5058,518,Indian Institute of Information Technology Kalyani
5059,518,Indian Institute of Science Education and Research Kolkata
5060,518,Bidyasagar Institute of Computer
5061,519,IIT Kharagpur
5062,519,College of Engineering & Management Kolaghat
5063,520,TCS Gito Bitan Centre -1
5064,520,TCS Gito Bitan Centre -2
5065,520,TCS Gito Bitan Centre -3
5066,520,TCS Gito Bitan Centre -4
5067,520,TCS Gito Bitan Centre -5
5068,520,TCS Gito Bitan Centre -6
5069,520,TCS Gito Bitan Centre -7
5070,520,Techno India MAC Center
5071,520,Techno India University
5072,520,Success Stairs Kolkata
5073,520,Bengal Institute of Technology
5074,520,iON Digital Zone iDZ Belgharia
5075,520,iON Digital Zone iDZ Madhyamgram
5076,520,Brainware Group of Institutions
5077,520,iON Digital Zone iDZ Baruipur
5078,520,Budge Budge Institute of Technology
5079,520,GDSP Education Private Limited
5080,520,Ramakrishna Mission Shilpamandira Computer Centre
5510,551,New Horizons Computer Learning Center
6001,601,Srinivasa Ramanujan Institute of Technology
6002,601,PVKK Institute of Technology
6003,601,Ananthalakshmi Institute of Technology and Sciences
6004,602,SRKR Engineering College
6005,603,iON Digital Zone iDZ Nayanipalli Village (Centre I)
6006,604,Ramachandra College of Engineering
6007,604,Eluru College of Engineering & Technology
6008,604,Sir CR Reddy College of Engineering
6009,605,iON Digital Zone iDZ Perecherla
6010,605,iON Digital Zone iDZ Challavaripalem
6011,605,iON Digital Zone iDZ Vinjanampadu Village
6012,605,iON Digital Zone iDZ Atmakur Village
6013,605,Malineni Lakshmaiah Womens Engineering College
6014,605,Malineni Perumallu Educational Society's Group of Institutions
6015,605,St. Mary's Women's Engineering College
6016,605,Sri Venkateswara Institute of Technology
6017,605,Priyadarshini Institute Of Technology & Management
6018,605,Chebrolu Engineering College
6019,605,Guntur Engineering College
6020,605,KKR and KSR Institute of Technology and Science
6021,606,iON Digital Zone iDZ Atchutapuram (Centre I)
6022,606,iON Digital Zone iDZ Atchutapuram (Centre II)
6023,606,Kakinada Institute of Engineering & Technology - II
6024,607,iON Digital Zone iDZ Sanath Nagar (Centre I)
6025,607,iON Digital Zone iDZ Sanath Nagar (Centre II)
6026,608,iON Digital Zone iDZ Kodavaluru Village (Centre I)
6027,608,iON Digital Zone iDZ Kodavaluru Village (Centre II)
6028,609,QIS College of Engineering and Technology
6029,609,QIS Institute of Technology Ongole
6030,610,iON Digital Zone iDZ Luthergiri (Centre I)
6031,610,iON Digital Zone iDZ Luthergiri (Centre II)
6032,611,Sri Vasavi Engineering College
6033,611,Sasi Institute of Technology & Engineering
6034,612,iON Digital Zone iDZ Zoo Park Tirupathi (Centre I)
6035,612,iON Digital Zone iDZ Zoo Park Tirupathi (Centre II)
